"name","group","id","Razão de dependência","Taxa de frequência bruta ao médio","Taxa de frequência bruta à pré-escola","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao médio","Taxa de frequência líquida à pré-escola","Taxa de frequência líquida ao superior","% de 0 a 3 anos na escola","% de 4 a 5 anos na escola","% de 25 anos ou mais com superior completo","Renda per capita","Renda per capita , exceto renda nula","População total em domicílios particulares permanentes, exceto com renda nula","IDHM"
"LANDRI SALES","Piauí",220560,60.57,84.7,99.26,16.85,33.45,65.09,8,37.46,97.55,2.92,266.01,269.32,5207,0.584
"LUÍS CORREIA","Piauí",220570,53.02,64.57,49.96,10.5,23.13,42.82,4.22,20.52,74.17,1.73,236.9,256.73,26036,0.541
"LUZILÂNDIA","Piauí",220580,56.57,60.66,83.78,13.75,18.54,65.19,6.22,27.78,95.95,3.61,245.02,252.02,23952,0.545
"MADEIRO","Piauí",220585,62.56,73.75,54.47,9.31,35.65,44.99,3.21,34.07,96.9,3.88,150.89,157.16,7504,0.563
"MANOEL EMÍDIO","Piauí",220590,54.88,40.1,42.62,27.37,18.63,26.3,14.01,44.52,94.42,6.07,222.62,229.75,5041,0.573
"MARCOLÂNDIA","Piauí",220595,59.17,63.1,63.04,6.98,29.43,44.64,4.47,19.61,84.16,4.16,291.91,294.43,7704,0.562
"MARCOS PARENTE","Piauí",220600,57.23,78.04,95.2,20.56,42.5,55.48,12.91,30.95,97.38,4.43,295.66,301.25,4349,0.59
"MASSAPÊ DO PIAUÍ","Piauí",220605,58.27,63.43,57.89,15.42,30.1,54.55,7.01,4.58,80.45,3.29,195.88,200.74,6069,0.525
"MATIAS OLÍMPIO","Piauí",220610,61.6,61.38,47.6,7.41,32.21,41.05,2.23,26.3,94.4,3.49,204.46,209.5,10181,0.562
"MIGUEL ALVES","Piauí",220620,68.59,54.28,71.68,8.72,17.23,59.23,4.19,10.26,86.39,2.66,220.05,224.33,31609,0.539
"MIGUEL LEÃO","Piauí",220630,60.44,80.5,22.22,24.39,44.69,22.22,7.59,13.21,90.03,3.72,294.48,298.69,1229,0.623
"MILTON BRANDÃO","Piauí",220635,59.68,51.83,77.27,4.21,21.55,59.01,2.22,32.23,96.63,3.39,154.73,159.29,6571,0.508
"MONSENHOR GIL","Piauí",220640,54.82,73.49,83.49,17.09,39.55,60.17,5.29,22.18,98.62,4.17,273.95,278.11,10178,0.615
"MONSENHOR HIPÓLITO","Piauí",220650,51.05,67,72.19,26.87,26.95,69.75,13.5,6.91,83.57,4.65,315.6,319.33,7261,0.561
"MONTE ALEGRE DO PIAUÍ","Piauí",220660,63.2,67.55,53.06,23.47,31.63,47.78,9.61,12.03,82.14,4.6,217.23,224.56,10002,0.578
"MORRO CABEÇA NO TEMPO","Piauí",220665,65.84,97.18,41.94,9.48,35.13,36.21,2.79,14.58,83.59,3.09,150.52,160.54,3774,0.542
"MORRO DO CHAPÉU DO PIAUÍ","Piauí",220667,59.96,61.48,76.43,11.11,33.19,71.7,3.78,26.19,98.24,3.58,225.37,227.17,6431,0.55
"MURICI DOS PORTELAS","Piauí",220669,64.51,45.77,67.27,6.17,20.91,46.01,0.95,25.81,90.83,3.34,167.87,177.95,7930,0.53
"NAZARÉ DO PIAUÍ","Piauí",220670,59.5,113.94,67.52,18.17,50.29,45.83,8.72,12.35,87.99,2.91,218.07,236.35,6748,0.576
"NOSSA SENHORA DE NAZARÉ","Piauí",220675,52.94,71.58,52.02,8.07,37.7,43.82,3.65,22.35,96.34,2.32,256.22,258.96,4501,0.586
"NOSSA SENHORA DOS REMÉDIOS","Piauí",220680,62.64,77.34,47.94,9.93,23.5,42.49,3.56,59.82,97.56,1.41,183.4,187.65,8014,0.533
"NOVO ORIENTE DO PIAUÍ","Piauí",220690,55.45,67.33,59.09,11.77,26.57,54.31,7.82,21.59,97.42,2.27,240.65,243.87,6391,0.562
"NOVO SANTO ANTÔNIO","Piauí",220695,53.56,60.71,69.16,19.32,27.6,51.54,5.42,31.35,80.43,2.62,224.54,229.46,3188,0.528
"OEIRAS","Piauí",220700,55.25,83.92,92.08,23.8,41.12,69.74,12.45,19.15,92.44,6.51,376.95,383.12,34852,0.634
"OLHO D'ÁGUA DO PIAUÍ","Piauí",220710,65.89,72.32,44.22,16.47,31.91,39.35,6.25,18.3,74.74,3.14,225.8,229.67,2582,0.576
"PADRE MARCOS","Piauí",220720,53.14,58.45,44.06,15.22,31.85,42.57,5.61,27.26,73.96,2.65,217.66,225.07,6390,0.541
"PAES LANDIM","Piauí",220730,58.99,54.96,78.84,32.08,30.94,75.86,15.77,4.15,90.83,7.05,225.53,232.54,3937,0.575
"PAJEÚ DO PIAUÍ","Piauí",220735,58.11,73.85,62.38,17.57,32.69,54.16,6.8,5.79,62.35,2.42,261.36,266.84,3281,0.559
"PALMEIRA DO PIAUÍ","Piauí",220740,61.32,73.37,52.4,19.3,35.41,42.2,8,7.83,60.75,2.89,278.54,292.12,4761,0.557
"PALMEIRAIS","Piauí",220750,65.01,88.69,66.67,5.82,27.91,50.25,3.01,29.68,94.7,1.62,197.04,204.57,13239,0.562
"PAQUETÁ","Piauí",220755,53.48,63.52,55.3,15.02,24.37,41.39,3.98,15.09,78.78,1.05,202.6,204.66,4105,0.509
"PARNAGUÁ","Piauí",220760,64.39,78.57,66.29,16.78,29.13,59.52,7.07,7.91,92.68,4.62,211.44,217.91,9921,0.575
"PARNAÍBA","Piauí",220770,48.88,84.52,74.85,26.67,40.03,59.1,13.89,15.23,91.18,8.76,479.58,482.12,144142,0.687
"PASSAGEM FRANCA DO PIAUÍ","Piauí",220775,56.92,62.62,69.53,8.87,23.88,43.71,4.07,29.45,96.23,1.19,323.31,331.14,4405,0.561
"PATOS DO PIAUÍ","Piauí",220777,56.31,51.43,34.86,19.92,20.28,24.9,9.1,11.6,79.02,3.83,215.75,218.96,5992,0.563
"PAU D'ARCO DO PIAUÍ","Piauí",220779,62.99,60.01,82.98,5.16,23.22,61.78,1.95,15.16,91.9,0.79,167.01,172.7,3624,0.514
"PAULISTANA","Piauí",220780,57.23,63.3,65.56,17.38,31.9,53.42,9.96,29.58,89.51,6.38,327.06,337.43,18988,0.6
"PAVUSSU","Piauí",220785,55.67,81.6,43.37,10.4,29.59,38.48,4.48,4.71,59.27,2.3,193.61,199.94,3541,0.526
"PEDRO II","Piauí",220790,61.74,51.18,60.06,16.77,21.8,51.04,7.55,7.8,79.77,5.01,270.17,276.7,36590,0.571
"PEDRO LAURENTINO","Piauí",220793,58.36,115.53,63.02,10.57,42.38,53.15,4.94,8.52,92.55,2.7,157.24,162.15,2334,0.562
"NOVA SANTA RITA","Piauí",220795,59.44,85.17,76.77,19.4,31.18,71.46,2.94,9.06,85.86,3.7,202.99,209.38,4053,0.554
"PICOS","Piauí",220800,44.01,94.38,89.68,40.04,50.7,72.19,21.14,19.25,96.97,10.06,563.88,565.47,72736,0.698
"PIMENTEIRAS","Piauí",220810,57.66,46.85,56.28,15.8,25.07,49.09,5.63,16.43,91.7,3.05,249.17,255.86,11405,0.566
"PIO IX","Piauí",220820,54.14,52.53,45.57,13.5,28.96,38,6.19,14.21,65.04,4.09,227.79,241.99,16513,0.564
"PIRACURUCA","Piauí",220830,53.35,67.16,86.35,16.89,30.32,70.68,8.59,14.39,91.16,3.77,286.63,291.38,27009,0.596
"PIRIPIRI","Piauí",220840,52.82,76.97,84.94,18.85,42.57,71.69,7.27,13.01,82.83,5.08,380.67,384.44,61116,0.635
"PORTO","Piauí",220850,68.99,46.69,93.77,9.15,17.77,66.05,2.26,30.54,95.95,4.1,226.34,229.85,11669,0.549
"PORTO ALEGRE DO PIAUÍ","Piauí",220855,57.96,59.41,53.39,13.61,31.02,53.39,8.46,8.67,95.51,5.92,228.65,234.25,2464,0.563
"PRATA DO PIAUÍ","Piauí",220860,63.14,74.6,59.3,11.8,31.64,39.43,5.73,20.81,95.93,2.27,212.64,217.69,3002,0.565
"QUEIMADA NOVA","Piauí",220865,54,56.99,33.66,3.74,21.37,24.77,0.94,7.62,45.64,1.75,168.78,172.12,8380,0.515
"REDENÇÃO DO GURGUÉIA","Piauí",220870,63.93,69.25,72.31,16.65,24.75,51.34,9.34,15.2,95.94,5.42,255.92,260.78,8199,0.589
"REGENERAÇÃO","Piauí",220880,56.79,73.58,80.61,16.72,39.16,60.11,8,19.43,89.06,4.81,299.65,305.59,17174,0.591
"RIACHO FRIO","Piauí",220885,60.95,60.47,54.64,12.19,24.19,52.8,3.88,20.34,94.61,4.4,161.99,171.16,4007,0.541
"RIBEIRA DO PIAUÍ","Piauí",220887,57.36,68.07,50.36,16.69,21.06,40.21,2.79,22.98,92.65,3.47,185.05,197.3,3983,0.52
"RIBEIRO GONÇALVES","Piauí",220890,62.86,64.94,70.39,11.25,30.73,49.64,5.1,16.95,83.07,6.31,274.79,281.42,6645,0.601
"RIO GRANDE DO PIAUÍ","Piauí",220900,57.81,60.14,31.75,15.49,32.05,25.15,5.63,16.84,95.71,2.48,248.87,255.38,6104,0.572
"SANTA CRUZ DO PIAUÍ","Piauí",220910,52.54,100.89,53.75,23.29,58.49,45,14.19,10.94,75.62,6.46,278.49,285.15,5873,0.601
"SANTA CRUZ DOS MILAGRES","Piauí",220915,57.75,78.19,80.86,6.84,37.24,54.9,1.29,33.55,96.74,4.76,208.49,211.5,3718,0.577
"SANTA FILOMENA","Piauí",220920,67.2,47.95,42.78,5.93,20.49,34.74,1.13,18.58,69.23,4.41,216.61,225.3,5861,0.544
"SANTA LUZ","Piauí",220930,59.98,71.37,106.17,21.87,30.77,76.06,8.68,22.16,94.53,3.97,228.71,230.6,5459,0.588
"SANTANA DO PIAUÍ","Piauí",220935,52.13,64.06,94.95,10.34,44.09,79.9,5.14,18.06,96.72,3.35,228.52,233.54,4811,0.574
"SANTA ROSA DO PIAUÍ","Piauí",220937,57.9,56.46,63.22,19.14,37.45,58.4,9.54,16.32,86.45,3.37,229.29,230.39,5118,0.567
"SANTO ANTÔNIO DE LISBOA","Piauí",220940,52.93,80.6,69.36,23.49,39.15,57.64,15.26,18.96,93.01,4.29,329.44,330.92,5954,0.584
"SANTO ANTÔNIO DOS MILAGRES","Piauí",220945,64.19,48.76,99.34,21.42,28.78,69.75,5.77,29.39,100,5.54,208.58,214.2,2002,0.619
"SANTO INÁCIO DO PIAUÍ","Piauí",220950,50.81,73.17,74.67,20.88,51.16,74.67,11.71,2.36,93.99,2.97,235.42,241.98,3547,0.613
"SÃO BRAZ DO PIAUÍ","Piauí",220955,54.81,62.37,78.85,10,34.81,72.23,5.24,20.31,92.24,2.36,220.96,232.13,4093,0.596
"SÃO FÉLIX DO PIAUÍ","Piauí",220960,55.44,83.1,73.5,16.37,48.29,63.7,11.26,27.22,100,3.61,309.48,309.92,3060,0.61
"SÃO FRANCISCO DE ASSIS DO PIAUÍ","Piauí",220965,59.28,54.72,32.25,5.9,22.68,26.46,1,15.12,66.64,1.86,141.81,151.13,5210,0.485
"SÃO FRANCISCO DO PIAUÍ","Piauí",220970,61.99,55.97,86.88,18.05,28.93,66.93,8.44,20.87,100,3.66,256.79,261.25,6165,0.57
