"name","group","id","Razão de dependência 2000","Taxa de frequência bruta ao superior 2000","Taxa de frequência líquida ao superior 2000","Taxa de frequência bruta ao superior","Taxa de frequência líquida ao superior","Renda per capita , exceto renda nula 2000","Renda per capita , exceto renda nula 2010","% Variação renda per capita exceto nula 2000-2010","Renda per capita 2000","Renda per capita 2010","% Variação renda per capita 2000-2010","IDHM 2000","IDHM","% de 25 anos ou mais com superior completo"
"HUMAITÁ","Amazonas",130170,88.43,2.97,0.62,16.13,6.23,314.46,417.23,32.6814221204605,269.39,382.13,41.8501057945729,0.475,0.605,6.53
"IPIXUNA","Amazonas",130180,113.51,2.11,1.78,3.33,2.09,108.4,172.47,59.1051660516605,81.81,154.54,88.9011123334556,0.318,0.481,2.29
"IRANDUBA","Amazonas",130185,76.53,3.68,0.98,13.65,5.09,240.56,370.46,53.9990023279016,226.53,349.23,54.1650112567872,0.437,0.613,3.88
"ITACOATIARA","Amazonas",130190,80.36,2.64,0.21,16.99,6.75,240.77,390.36,62.1298334510114,235.91,373.71,58.412106311729,0.491,0.644,5.88
"ITAMARATI","Amazonas",130195,112.49,0,0,3.52,1.97,221.83,245.03,10.4584591804535,187.55,214.95,14.6094374833378,0.331,0.477,3.75
"ITAPIRANGA","Amazonas",130200,87.41,0,0,14.73,6.79,154.56,360.06,132.958074534161,144.72,321.94,122.457158651189,0.478,0.654,5.21
"JAPURÁ","Amazonas",130210,83.07,0,0,8.64,2.86,129.66,254.02,95.9123862409379,197.57,248.6,25.8288201650048,0.304,0.522,3.79
"JURUÁ","Amazonas",130220,102.4,0,0,10.07,5.02,193.99,238.25,22.815609052013,158.18,227.39,43.7539511948413,0.362,0.522,2.54
"JUTAÍ","Amazonas",130230,120.8,0.28,0.28,2.59,0.75,197.86,240.62,21.6112402708986,119.48,214.36,79.4107800468698,0.304,0.516,3.83
"LÁBREA","Amazonas",130240,91.7,0.7,0,6.36,1.55,166.62,247.68,48.6496218941304,136.22,227.62,67.097342534136,0.386,0.531,3.68
"MANACAPURU","Amazonas",130250,84.97,2.08,0.48,11.48,4.9,212.32,353.42,66.456292388847,199.66,342.58,71.5816888710808,0.437,0.614,3.59
"MANAQUIRI","Amazonas",130255,82.45,2.05,0,6.22,1.81,272.78,263.83,-3.2810323337488,234.85,254.15,8.21801149670003,0.429,0.596,2.3
"MANAUS","Amazonas",130260,57.39,13.37,5.52,39.71,15.59,542.34,792.86,46.1924254157908,531.53,790.27,48.6783436494648,0.601,0.737,10.97
"MANICORÉ","Amazonas",130270,92,0.59,0.41,5.38,2.47,157.91,314.95,99.449053258185,140.08,295.23,110.758138206739,0.398,0.582,4.35
"MARAÃ","Amazonas",130280,96.17,0,0,8.3,2.58,130.81,181.3,38.5979665163214,108.66,144.99,33.4345665378244,0.291,0.498,1.96
"MAUÉS","Amazonas",130290,99.01,1.07,0,9.94,4.2,208.69,259.61,24.399827495328,191.31,244.3,27.6984998170509,0.454,0.588,5.56
"NHAMUNDÁ","Amazonas",130300,96.99,2.17,1.21,6.29,3.35,146.9,221.89,51.0483321987747,136.82,195.12,42.6107294255226,0.441,0.586,3.88
"NOVA OLINDA DO NORTE","Amazonas",130310,100.13,1.17,0.19,4.98,0.55,259.71,255.28,-1.70574871972584,203.68,232.07,13.9385310290652,0.373,0.558,4.05
"NOVO AIRÃO","Amazonas",130320,88.31,3.03,0.78,13.68,5.59,199.61,284.93,42.7433495315866,190.48,246.44,29.3784124317514,0.428,0.57,5.95
"NOVO ARIPUANÃ","Amazonas",130330,98.87,1.63,0,5.78,2.21,234.39,242.33,3.38751653227528,206.15,219.69,6.56803298569003,0.387,0.554,3.49
"PARINTINS","Amazonas",130340,87.67,1.74,0.77,21.11,9.96,194.57,336.25,72.8169810351031,184.11,313.07,70.0450817446092,0.488,0.658,7.24
"PAUINI","Amazonas",130350,93.2,0.4,0,2.81,0.84,304.44,237.72,-21.9156484036263,198.75,218.21,9.79119496855346,0.287,0.496,3.75
"PRESIDENTE FIGUEIREDO","Amazonas",130353,67.44,2.75,0.33,17.9,7.1,405.92,415.64,2.39456050453291,387.62,396.51,2.29348330839482,0.537,0.647,4.86
"RIO PRETO DA EVA","Amazonas",130356,72.14,1.62,0.37,9.25,3.31,231.4,348.56,50.6309420916162,213.85,315.24,47.4117371989713,0.434,0.611,2.58
"SANTA ISABEL DO RIO NEGRO","Amazonas",130360,89.27,0.39,0,4.45,1.03,169.19,218.08,28.8965068857498,106.81,141.04,32.0475610897856,0.384,0.479,3.61
"SANTO ANTÔNIO DO IÇÁ","Amazonas",130370,109.2,0.35,0,4.03,2.69,132.4,149.87,13.1948640483384,90.43,122.21,35.1432046887095,0.306,0.49,2.45
"SÃO GABRIEL DA CACHOEIRA","Amazonas",130380,78.3,1.4,0.28,7.55,1.97,377.17,476.72,26.3939337699181,213.37,355.51,66.6166752589399,0.478,0.609,4.38
"SÃO PAULO DE OLIVENÇA","Amazonas",130390,103.03,0,0,5.54,2.42,140.05,179.06,27.8543377365227,102.57,150.28,46.5145754119138,0.324,0.521,2.12
