"name","group","id","Taxa de frequência líquida à pré-escola","% de 0 a 3 anos na escola","IDHM","Taxa de frequência líquida à pré-escola 2000","Renda per capita 2000","Renda per capita 2010","% Variação renda per capita 2000-2010","IDHM 2000","Razão de dependência 2000","% de 0 a 3 anos na escola"
"FONTE BOA","Amazonas",130160,27.06,17.25,0.53,12.07,161.97,200.4,23.7266160400074,0.32,96.83,1.55
"GUAJARÁ","Amazonas",130165,34.72,11.26,0.532,19.68,142.25,191.04,34.298769771529,0.381,109.9,2.03
"HUMAITÁ","Amazonas",130170,30.63,5.43,0.605,19.91,269.39,382.13,41.8501057945729,0.475,88.43,1.03
"IPIXUNA","Amazonas",130180,7.04,5.39,0.481,8.71,81.81,154.54,88.9011123334556,0.318,113.51,1.7
"IRANDUBA","Amazonas",130185,31.51,8.83,0.613,17.34,226.53,349.23,54.1650112567872,0.437,76.53,2.11
"ITACOATIARA","Amazonas",130190,25.48,11.25,0.644,16.98,235.91,373.71,58.412106311729,0.491,80.36,2.99
"ITAMARATI","Amazonas",130195,25.39,22.35,0.477,15.97,187.55,214.95,14.6094374833378,0.331,112.49,0.93
"ITAPIRANGA","Amazonas",130200,44.23,9.41,0.654,29.63,144.72,321.94,122.457158651189,0.478,87.41,8
"JAPURÁ","Amazonas",130210,19.71,38.16,0.522,5.73,197.57,248.6,25.8288201650048,0.304,83.07,4.79
"JURUÁ","Amazonas",130220,40.75,21.24,0.522,8.16,158.18,227.39,43.7539511948413,0.362,102.4,6.87
"JUTAÍ","Amazonas",130230,37.54,10.44,0.516,7.25,119.48,214.36,79.4107800468698,0.304,120.8,1.11
"LÁBREA","Amazonas",130240,11.88,4.63,0.531,6.9,136.22,227.62,67.097342534136,0.386,91.7,1.6
"MANACAPURU","Amazonas",130250,17.53,6.14,0.614,9.66,199.66,342.58,71.5816888710808,0.437,84.97,1.12
"MANAQUIRI","Amazonas",130255,39.17,11.24,0.596,14.07,234.85,254.15,8.21801149670003,0.429,82.45,2.98
"MANAUS","Amazonas",130260,43.28,13.11,0.737,29.08,531.53,790.27,48.6783436494648,0.601,57.39,5.95
"MANICORÉ","Amazonas",130270,26.61,14.95,0.582,15.98,140.08,295.23,110.758138206739,0.398,92,1.44
"MARAÃ","Amazonas",130280,37.55,25.33,0.498,5.64,108.66,144.99,33.4345665378244,0.291,96.17,1.54
"MAUÉS","Amazonas",130290,28.95,8.59,0.588,15.14,191.31,244.3,27.6984998170509,0.454,99.01,1.4
"NHAMUNDÁ","Amazonas",130300,29.42,9.49,0.586,24.67,136.82,195.12,42.6107294255226,0.441,96.99,5.22
"NOVA OLINDA DO NORTE","Amazonas",130310,34.98,14.26,0.558,8.85,203.68,232.07,13.9385310290652,0.373,100.13,3.19
"NOVO AIRÃO","Amazonas",130320,23.02,10.21,0.57,14.61,190.48,246.44,29.3784124317514,0.428,88.31,0
"NOVO ARIPUANÃ","Amazonas",130330,30.04,8.9,0.554,9.46,206.15,219.69,6.56803298569003,0.387,98.87,1.48
"PARINTINS","Amazonas",130340,44.05,15.65,0.658,25.96,184.11,313.07,70.0450817446092,0.488,87.67,1.84
"PAUINI","Amazonas",130350,32.13,8.48,0.496,6.38,198.75,218.21,9.79119496855346,0.287,93.2,0.44
"PRESIDENTE FIGUEIREDO","Amazonas",130353,47.36,19.18,0.647,25.95,387.62,396.51,2.29348330839482,0.537,67.44,8.89
"RIO PRETO DA EVA","Amazonas",130356,32.29,11.52,0.611,11.92,213.85,315.24,47.4117371989713,0.434,72.14,4.23
