"name","id","Taxa de desocupação - 18 anos ou mais 2010","Taxa de desocupação - 18 a 24 anos 2010","Taxa de desocupação - 25 a 29 anos 2010","IDHM 1991","IDHM 2000","IDHM 2010","IDHM Renda 1991","IDHM Renda 2000","IDHM Renda 2010","% de 0 a 5 anos na escola 2010","% de 18 a 24 anos na escola 2010","% de 25 a 29 anos na escola 2010","Taxa de frequência bruta à pré-escola 2010","Taxa de frequência bruta ao superior 2010","Taxa de frequência líquida à pré-escola 2010","Taxa de frequência líquida ao superior 2010","Renda per capita 1991","Renda per capita 2000","Renda per capita 2010",,,,,,,,
"Quatro Irmãos",4315313,3.41,6.6,1.72,0.33,504,689,485,539,695,34,23.9,8.48,62.32,21.61,60.05,10.83,163.67,228.51,602.95,,,,,,,,
"Quatro Pontes",4120853,1.07,1.74,1.44,484,718,791,576,689,0.79,57,36.7,14.14,63.97,44.16,57.68,28.39,287.67,580.73,1093.43,,,,,,,,
"Quebrangulo",2707602,5.02,14.12,7.59,0.3,384,559,0.43,472,536,37,30.32,14.88,74.87,11.53,58.61,4.5,116.1,151.14,224.78,,,,,,,,
"Quedas do Iguaçu",4120903,4.78,10.42,6.27,0.42,593,681,0.54,645,0.69,27,18.79,9.95,17.76,20.84,16.7,8.39,229.78,442.64,586.88,,,,,,,,
"Queimada Nova",2208650,6.24,14.47,8.33,182,0.28,515,363,387,0.49,22,29.39,9.05,33.66,3.74,24.77,0.94,76.62,89.11,168.78,,,,,,,,
"Queimadas",2512507,8.12,17.59,10.01,297,431,608,404,499,578,47,29.29,17.65,79.05,13.97,55.32,6.44,99.14,178.92,292.5,,,,,,,,
"Queimadas",2925808,11.56,20.45,15.67,267,434,592,407,481,0.55,38,27,8.12,54.8,6.03,37.5,1.71,100.8,159.62,245.7,,,,,,,,
"Queimados",3304144,10.91,22.03,12.68,448,0.55,0.68,553,619,659,34,25.43,10.64,68.67,12.64,52.92,4.57,250.44,376.53,484.4,,,,,,,,
"Queiroz",3541802,9.79,13.46,14.81,0.48,572,715,562,0.56,662,40,16.06,0.89,60.76,8.06,54.94,5.8,263.53,260.72,491.84,,,,,,,,
"Queluz",3541901,9.74,23.82,16.4,448,615,722,575,654,665,32,13.73,5.3,69.55,14.9,64.92,6.94,286.27,466.97,500.25,,,,,,,,
"Queluzito",3153806,1.06,1.43,7.31,345,549,682,477,602,669,37,24.01,9.97,79.56,13.51,74.44,7.52,155.84,338,513.72,,,,,,,,
"Querência",5107065,2.65,4.53,3.84,409,541,692,586,661,701,41,24.92,13.39,83.94,25.15,62.62,9.98,306.35,489.58,628.89,,,,,,,,
"Querência do Norte",4121000,4.88,10.26,5.17,392,557,688,576,595,667,54,24.48,11.57,96.63,21.93,71.62,11.59,288.19,324.69,509.13,,,,,,,,
"Quevedos",4315321,1.42,5.08,2,343,491,665,474,591,667,18,24.77,6.99,41.58,22.78,35.65,12.12,152.79,317.11,509.07,,,,,,,,
"Quijingue",2925907,4.07,8.38,8.15,191,343,544,353,0.42,539,49,25.72,8.02,64.88,4.17,57.44,1.57,71.78,109.15,228.71,,,,,,,,
"Quilombo",4214201,1.41,2.95,1.54,456,614,0.73,551,0.67,712,42,28.84,12.11,88.35,29.92,73.34,18.79,246.06,516.04,672.58,,,,,,,,
"Quinta do Sol",4121109,3.8,7.02,5.82,439,596,715,561,605,689,42,27.67,8.88,73.97,33.36,73.97,16.67,262.33,345.3,583.64,,,,,,,,
"Quintana",3542008,8.22,14.26,7.04,477,634,732,609,641,689,47,13.29,11.36,103.13,30.1,75.89,9.31,353.07,432.63,581.09,,,,,,,,
"Quinze de Novembro",4315354,1.46,3.99,3.25,477,657,756,643,666,783,43,22.1,4.98,82.06,25.79,73.59,14.87,438.32,504.36,1046.11,,,,,,,,
"Quipapá",2611507,8.04,15.86,11.55,288,361,552,431,466,0.53,38,35.85,16.44,59.31,10.7,46.01,5.33,116.74,145.05,215.92,,,,,,,,
"Quirinópolis",5218508,3.89,8.36,4.96,473,613,0.74,617,659,732,31,24.61,12.81,54.71,31.15,48.69,15.38,372.52,483.03,761.68,,,,,,,,
"Quissamã",3304151,11.57,24.84,13.11,406,561,704,533,0.62,698,61,34.08,8.59,83.68,25.92,66.81,12.82,220.62,377.95,616.31,,,,,,,,
"Quitandinha",4121208,4.3,5.66,4.85,336,563,0.68,502,595,648,22,16.64,5.36,40.92,15.3,36.73,8.28,182.06,324.44,452.08,,,,,,,,
"Quiterianópolis",2311264,5.84,12.23,9.71,0.24,405,594,301,462,524,62,22.1,12.38,55.01,14.08,46.88,6.74,52.13,141.41,208.58,,,,,,,,
"Quixabá",2512606,13.06,20.19,20.69,255,416,622,0.34,456,564,46,15.65,14.81,91.23,9.93,77.62,1.95,66.39,136.85,267.39,,,,,,,,
"Quixaba",2611533,3.57,7.36,7.09,256,394,577,387,416,0.53,47,20.42,11.25,71.69,10.25,60.78,6.82,89.06,106.26,216.87,,,,,,,,
"Quixabeira",2925931,5.06,15.27,5.67,0.25,412,578,411,445,547,57,28.95,12.97,76.45,16.5,60.79,5.21,103.38,127.75,241.1,,,,,,,,
"Quixadá",2311306,8.1,17.19,11.42,383,524,659,484,518,592,47,23.57,7.25,68.33,18.91,55.35,9.79,162.21,200.88,317.66,,,,,,,,
"Quixelô",2311355,3.37,11.53,4.45,258,367,591,442,449,548,49,21.17,13.84,79.51,5.43,60.36,2.79,124.91,130.9,242.27,,,,,,,,
"Quixeramobim",2311405,6.17,11.32,7.5,356,482,642,464,492,592,46,26.24,8.76,78.01,18.25,60.72,9.69,143.96,170.44,317.45,,,,,,,,
"Quixeré",2311504,11.98,20.72,13.58,0.33,475,622,443,484,0.56,40,17.51,7.22,64.86,10,53.8,4.56,126.36,162.84,260.79,,,,,,,,
"Rafael Fernandes",2410504,5.96,14.76,9.86,405,489,608,433,482,588,50,21.63,8.45,53.36,13.45,39.35,5.31,118.31,160.72,311.04,,,,,,,,
"Rafael Godeiro",2410603,13.7,26.21,12.4,375,501,654,398,492,583,60,37.78,14.67,39.34,27.08,27.64,19.66,95.24,171.32,300.88,,,,,,,,
"Rafael Jambeiro",2925956,7.61,12.13,7.18,243,353,564,413,422,538,48,24.78,15.97,71.53,6.67,52.42,0.98,104.28,110.21,226.94,,,,,,,,
"Rafard",3542107,3.24,4.72,4.27,516,648,745,687,688,722,37,17.86,7.56,45.03,16.89,42.06,8.55,576.05,577.04,717.07,,,,,,,,
"Ramilândia",4121257,3.58,6.65,5.69,426,517,0.63,553,545,639,39,22.95,6.9,43.52,22.05,43.52,10.38,249.77,237.34,426.7,,,,,,,,
"Rancharia",3542206,6.74,12.32,11.47,557,0.68,751,618,0.67,0.72,47,21.29,9.89,80.67,27.7,65.86,12.51,374.08,517.26,707.37,,,,,,,,
"Rancho Alegre",4121307,6.63,14.88,8.98,487,605,707,563,611,691,54,28.68,10.06,78.72,30.77,69.02,17.64,266.66,358.94,590.51,,,,,,,,
"Rancho Alegre D'Oeste",4121356,2.83,4.91,7.58,394,584,704,0.65,661,673,49,30.01,11.66,87.14,28.49,79.12,19.86,457.71,489.85,528.21,,,,,,,,
"Rancho Queimado",4214300,0.56,1.9,,479,604,753,558,639,743,36,14.46,16.28,62.97,22.42,51.01,9.23,257.08,427.01,813.8,,,,,,,,
"Raposa",2109452,10.47,15.65,13.03,362,0.44,626,452,472,568,49,30.71,10.29,102.85,6.74,70.58,3.1,133.19,150.97,274,,,,,,,,
"Raposos",3153905,6.97,13.9,10.46,447,635,0.73,582,619,706,45,19.27,10.17,109.29,18.73,73.5,7.97,298.92,376.85,646.62,,,,,,,,
"Raul Soares",3154002,3.84,6.84,4.21,409,548,655,506,617,658,27,26.08,11.97,56.21,16.56,53.93,9.95,186.03,371.34,480.45,,,,,,,,
"Realeza",4121406,2.47,6.53,1.95,0.49,639,722,597,658,0.72,48,30.36,6.67,59.21,34.83,54.89,22.31,327.71,479.2,704.94,,,,,,,,
"Rebouças",4121505,5.84,17.84,5.14,383,559,672,496,573,647,28,17.7,9.57,29.09,18.67,27.38,8.55,175.46,283.06,449.27,,,,,,,,
"Recife",2611606,12.11,26.1,13.96,576,0.66,772,692,736,798,55,38.94,18.58,94.39,43.71,63.59,19.82,594.62,778.39,1144.26,,0.8,,1178.73,,0.79,,1114.68
"Recreio",3154101,6.74,13.74,7.37,482,596,692,638,633,668,46,24.49,7.21,63.2,16.17,51.37,10.52,424.37,410.75,510.95,,,,,,,,
"Recursolândia",1718501,3.08,2.17,4.76,148,0.33,0.5,0.34,412,0.49,16,24.06,5.62,15.85,3.6,15.85,0.97,66.37,104.2,168.85,,,,,,,,
"Redenção",1506138,7.34,12.34,8.46,374,0.53,672,573,0.63,674,25,27.91,11.53,35.99,19.48,30.57,9.61,282.85,404.19,529.54,,,,,,,,
"Redenção",2311603,4.63,11.08,2.83,349,478,626,425,0.47,567,50,22.61,10.44,81.97,7.19,63.11,4,112.29,149.24,273.08,,,,,,,,
"Redenção da Serra",3542305,11.15,27.22,7.94,402,552,657,565,597,633,32,14.81,3.65,38.84,17.09,36.19,2.33,269.16,327.91,411.77,,,,,,,,
"Redenção do Gurguéia",2208700,6.34,14.92,7.46,282,402,589,365,0.44,557,41,41,15.59,72.31,16.65,51.34,9.34,77.63,123.32,255.92,,,,,,,,
"Redentora",4315404,3.79,9.6,5.44,0.35,464,631,491,506,606,19,18.2,8.36,31.18,15.91,28.83,9.72,170.08,186.48,346.4,,,,,,,,
"Reduto",3154150,6.56,16.57,6.7,282,0.48,629,489,598,647,28,15.65,4.97,48.31,10.75,46.02,5.32,168.1,331.47,449.53,,,,,,,,
"Regeneração",2208809,8.96,18.43,9.91,322,0.43,591,415,474,582,42,34.01,14.9,80.61,16.72,60.11,8,105.59,152.34,299.65,,,,,,,,
"Regente Feijó",3542404,5.91,10.51,6.45,532,691,768,0.63,0.69,735,58,25.95,14.1,89.8,39.31,78.22,21.62,402.51,586.9,774.14,,,,,,,,
"Reginópolis",3542503,6.56,17.75,10.09,488,0.64,728,608,671,715,39,13.41,14.4,91.83,4.44,64.19,2.83,351.31,520.83,685.32,,,,,,,,
"Registro",3542602,7.94,17.5,7.92,509,0.65,754,657,689,718,42,22.16,10.44,69.44,26.65,64.76,11.37,476.84,580.57,699.41,,,,,,,,
"Relvado",4315453,0.4,,2.06,406,588,731,0.58,668,765,36,21.34,11.13,44.35,30.56,37.71,16.26,294.86,509.62,935.8,,,,,,,,
"Remanso",2926004,7.45,14.88,10.24,294,432,579,439,0.51,569,45,27.22,11.72,61.01,11.58,47.02,4.53,122.9,190.69,275.22,,,,,,,,
"Remígio",2512705,6.35,16.88,8.71,319,436,607,479,504,592,38,34.14,15.57,67.24,23.72,53.58,13.9,157.29,184.13,319.14,,,,,,,,
"Renascença",4121604,3.1,6.61,3.62,422,591,733,593,607,746,42,32.48,13.55,46.57,30.32,41.76,19.06,321.37,349.31,831.49,,,,,,,,
"Reriutaba",2311702,5.38,10.48,5.63,298,454,601,423,471,0.56,51,31.62,14.54,97.57,16.95,64.03,9.27,111.55,149.88,260.65,,,,,,,,
"Resende",3304201,7.83,18.32,9.84,0.56,0.66,768,661,723,762,51,32.84,16.12,95.91,40.14,70.79,16.7,489.14,721.26,915.21,,,,,,,,
"Resende Costa",3154200,1.14,3.19,0.64,417,568,685,542,0.59,689,25,28.34,6.95,63.05,20.93,54.47,12.88,233.5,314.3,580.66,,,,,,,,
"Reserva",4121703,4.15,7.16,3.55,327,485,618,482,576,0.65,30,21.92,13.1,26.58,9.44,23.07,4.99,161.04,288.58,457.88,,,,,,,,
"Reserva do Cabaçal",5107156,2.84,3.89,2.17,366,548,676,494,0.56,642,35,24.01,10.97,37.4,29.35,37.4,7.61,172.71,261.18,434.88,,,,,,,,
"Reserva do Iguaçu",4121752,7.67,13.16,10.33,0.49,554,648,625,631,636,46,19.62,9.16,59.16,18.33,46.71,6.1,392.16,404.93,419.62,,,,,,,,
"Resplendor",3154309,6.99,8.5,11.21,398,0.58,0.67,0.53,627,666,27,18.42,12.26,47.1,18.66,46.17,7.83,216.09,396.82,504.18,,,,,,,,
"Ressaquinha",3154408,5.79,16.67,9.99,0.38,0.52,683,488,564,638,46,21.04,4.39,111.59,11.72,85.08,7.6,166.38,266.99,424.03,,,,,,,,
"Restinga",3542701,5.03,11.38,4.27,439,0.62,705,589,611,664,37,16.5,3.58,64.7,12.4,59.3,9.85,312.92,358.64,499.24,,,,,,,,
"Restinga Seca",4315503,3.72,9.65,2.2,0.49,586,683,0.61,643,709,26,26.39,9.1,46.28,25.99,41.98,15.1,357.14,438.66,660.14,,,,,,,,
"Retirolândia",2926103,8.67,19.5,10.98,321,478,636,415,537,579,52,21.45,11.7,83.37,21.47,67.2,5.6,106.02,226.32,293.01,,,,,,,,
"Riachão",2109502,6.82,11.48,8.7,231,0.38,576,369,468,572,28,40.57,14.94,37.24,5.74,36.31,3.03,79.53,147.21,281.53,,,,,,,,
"Riachão",2512747,3.47,9.22,2.62,237,362,574,285,431,515,55,21.38,10.44,41.68,8.81,41.68,1.76,47.18,117.27,197.04,,,,,,,,
"Riachão das Neves",2926202,13.15,20.61,18.59,267,389,578,416,435,527,34,32.98,14.82,60.71,10.65,52.26,2.48,106.43,119.97,212.09,,,,,,,,
"Riachão do Bacamarte",2512754,7.76,19.59,9.27,0.26,394,553,406,488,561,44,27.17,14.86,85.32,15.69,68.52,2.09,100.32,166.63,262.31,,,,,,,,
"Riachão do Dantas",2805802,2.75,6.18,3.78,253,385,539,431,445,527,39,34.83,8.34,77.53,6.75,60.93,3.68,116.94,127.34,212.37,,,,,,,,
"Riachão do Jacuípe",2926301,10.02,18.87,10.79,342,0.48,628,473,522,588,46,24.41,8.36,72.44,10.08,52.98,4.29,151.44,205.39,311.47,,,,,,,,
"Riachão do Poço",2512762,4.3,11.02,6.15,222,381,555,359,475,537,44,29.42,9.13,103.63,11.35,79.23,5.52,74.49,153.51,225.44,,,,,,,,
"Riachinho",1718550,11.84,39.13,12.71,157,361,572,358,405,503,39,27.15,8.88,37.23,7.55,25.61,3.6,74.39,99.31,182.97,,,,,,,,
"Riachinho",3154457,4.38,5.87,1.83,305,513,632,468,523,577,26,23.29,9.97,33.69,14.31,33.69,7.05,147.48,206.93,290.89,,,,,,,,
"Riacho da Cruz",2410702,23.98,38.57,44.35,321,443,584,411,482,545,62,29.43,13.45,77.78,16.73,58.09,6.42,102.96,160.67,237.37,,,,,,,,
"Riacho das Almas",2611705,4.68,7.61,5.48,285,426,0.57,464,581,586,28,13.54,4.1,53.43,9.57,49.41,5.17,143.36,297.7,306.61,,,,,,,,
"Riacho de Santana",2410801,11.84,38.61,9.42,303,441,591,318,0.42,545,55,41.22,8.64,88.65,18.44,70.04,10.91,57.73,109.48,237.37,,,,,,,,
"Riacho de Santana",2926400,7.48,16.07,7,327,451,615,422,468,572,38,22.75,8.53,32.36,11.05,27.62,5.05,110.62,147.34,281.05,,,,,,,,
"Riacho de Santo Antônio",2512788,5.28,21.5,,248,0.42,594,437,446,569,54,19.52,9.56,129.2,16.55,76.45,9.57,121.42,128.18,275.73,,,,,,,,
"Riacho dos Cavalos",2512804,5.03,8.79,9.98,268,366,568,363,468,546,28,18.47,8.09,66.01,13,64.63,6.26,76.71,147.1,239.15,,,,,,,,
"Riacho dos Machados",3154507,10.38,17.33,8.05,281,436,627,436,455,557,23,17.73,10.52,46.96,13.7,43.45,6.72,120.49,135.79,255.57,,,,,,,,
"Riacho Frio",2208858,17.36,44.33,16.99,207,395,541,322,0.47,483,43,40.63,10.08,54.64,12.19,52.8,3.88,59.5,149.4,161.99,,,,,,,,
"Riachuelo",2410900,18.34,29.68,27.06,309,459,592,376,499,561,60,33.26,13.49,56.12,16.17,47.31,6.61,82.92,178.29,262.85,,,,,,,,
"Riachuelo",2805901,19.56,36.22,26.12,384,0.48,617,466,0.5,591,47,28.16,11.22,127.93,12.46,73.72,4.64,145.7,179.58,317.28,,,,,,,,
"Rialma",5218607,5.63,12.5,5.34,0.48,614,727,564,714,698,40,27.46,15.02,60.1,29.78,57.71,13.35,268.3,681.41,616.74,,,,,,,,
"Rianápolis",5218706,3.14,5.97,3.04,461,573,693,563,615,674,39,21.44,4.63,66.07,16.66,63.83,11.32,265.9,368.38,529.17,,,,,,,,
"Ribamar Fiquene",2109551,19.75,26.68,19.09,131,402,615,416,487,592,38,17.11,5.84,54.76,6.96,47.54,1.5,106.76,165.92,317.75,,,,,,,,
"Ribas do Rio Pardo",5007109,5.54,11.4,10.37,383,514,664,615,629,681,26,19.06,7.51,51.56,21.21,41.1,10.31,367.15,401.37,552.58,,,,,,,,
"Ribeira",3542800,2.47,9.22,1.99,416,574,698,536,581,635,51,16.82,7.15,72.35,17.14,68.38,9.37,224.18,298.03,416.85,,,,,,,,
"Ribeira do Amparo",2926509,4.27,6.36,5.16,192,0.33,512,381,446,503,46,36.32,12.83,59.7,3.85,53.89,0.76,85.75,128.57,183.12,,,,,,,,
"Ribeira do Piauí",2208874,6.87,11.37,16.46,143,285,0.52,326,374,505,47,42.14,20.8,50.36,16.69,40.21,2.79,60.99,81.98,185.05,,,,,,,,
"Ribeira do Pombal",2926608,8.36,17.03,10.63,321,0.45,601,493,535,599,38,24.16,10.38,63.29,11,50.6,4.02,171.56,223.96,332.86,,,,,,,,
"Ribeirão",2611804,14.72,28.59,15.85,357,456,602,0.48,538,595,49,29.05,12.18,76.38,8.86,55.13,3.85,158.85,227.8,324.47,,,,,,,,
"Ribeirão Bonito",3542909,5.71,14.74,9.78,485,645,712,656,676,712,42,18.92,9.55,67,15.76,58.12,7.81,474.27,535.47,673.96,,,,,,,,
"Ribeirão Branco",3543006,10.96,17.71,13.31,306,462,639,478,547,592,35,18.44,11.56,59.94,9.28,53.75,3.94,156.34,240.88,318.44,,,,,,,,
"Ribeirão Cascalheira",5107180,6.46,9.17,4.45,354,492,0.67,572,621,668,34,30.16,14.2,43.92,21.31,39.54,8.89,281.28,381.58,512.31,,,,,,,,
"Ribeirão Claro",4121802,4.7,11.41,4.61,459,602,716,579,626,704,38,33.42,11.95,72.3,22.68,59.1,13.06,293.6,392.93,639.91,,,,,,,,
"Ribeirão Corrente",3543105,3.53,7.04,2.09,441,572,711,564,617,688,47,16.6,5.79,80.5,14.22,76.34,8.39,267.99,371.83,579.04,,,,,,,,
"Ribeirão das Neves",3154606,7.27,13.75,8.06,396,577,684,544,592,658,36,20.29,9.97,67.36,12.85,56.26,5.66,236.82,319.28,479.77,,0.66,,493.9,,0.65,,466.23
"Ribeirão do Largo",2926657,5.51,14.73,7.52,203,364,0.54,422,474,566,42,31.12,14.47,53.07,10.26,48.22,2.85,110.29,152.68,271.68,,,,,,,,
"Ribeirão do Pinhal",4121901,4.58,10.91,6.31,0.45,0.6,701,551,621,684,40,20.82,6.53,53.47,21.85,51.62,12.17,246.4,380.85,563.87,,,,,,,,
"Ribeirão dos Índios",3543238,6.36,11.48,11.09,478,612,721,563,574,661,57,26.93,1.82,61.65,31.46,56.14,24.33,265.34,284.63,489.94,,,,,,,,
"Ribeirão do Sul",3543204,2.93,6.91,4.98,484,603,747,571,624,753,55,35.07,9.44,71.36,50.02,60,27.56,280.25,389,866.43,,,,,,,,
"Ribeirão Grande",3543253,7.83,21.44,7.51,296,0.56,705,0.47,599,643,34,9.41,4.59,89.38,6.95,75.55,2.73,148.99,333.16,436.21,,,,,,,,
"Ribeirão Pires",3543303,10.16,18.11,10.9,0.58,718,784,709,726,749,48,26.57,12.51,59.87,32.16,52.6,16.24,657.5,733.1,847.11,,,,,,,,
"Ribeirão Preto",3543402,4.72,11.12,5.49,626,733,0.8,759,787,0.82,58,31.86,14.75,93.22,42.42,72.77,22.04,899.18,1070.28,1314.04,,0.82,,1342.98,,0.82,,1287.47
"Ribeirão Vermelho",3154705,9.84,27.98,11.15,524,631,737,597,689,699,46,38.53,6.26,74.05,27.05,69.62,17.9,329.41,583.95,617.88,,,,,,,,
"Ribeirãozinho",5107198,2.77,8.54,3.4,343,573,692,517,651,694,34,31.81,6.74,79.27,36.78,79.27,17.89,199.05,459.13,599.35,,,,,,,,
"Ribeiro Gonçalves",2208908,9.13,21.03,9.24,333,439,601,422,544,568,40,33.75,11.71,70.39,11.25,49.64,5.1,110.33,236,274.79,,,,,,,,
"Ribeirópolis",2806008,5.53,13.2,9.29,364,466,613,477,539,0.61,53,26.92,11.68,97.35,19.93,70.07,10.78,156.06,229.15,357.17,,,,,,,,
"Rifaina",3543600,6.35,13.45,7.39,438,624,0.74,0.55,0.65,713,37,13.68,5.13,59.4,14.35,55.58,8.71,245.24,458.17,677.62,,,,,,,,
"Rincão",3543709,5.39,11.98,7.15,501,634,734,653,643,701,52,18.45,8.77,85.29,20.39,66.25,9.39,466.41,437.45,626.27,,,,,,,,
"Rinópolis",3543808,3.76,6.63,4.16,456,655,723,564,649,696,40,24.11,7.93,54.95,25.58,54.95,17.87,267.14,454.64,606.9,,,,,,,,
"Rio Acima",3154804,6.23,13.88,6.77,401,552,673,0.52,0.61,689,33,20.91,7.61,74.81,14.29,72.77,6.87,203.11,356.05,582.71,,,,,,,,
"Rio Azul",4122008,2.92,4.18,3.59,392,538,687,527,582,728,23,17.71,7.48,31.62,12.66,30.7,7.44,212.26,298.4,740.31,,,,,,,,
"Rio Bananal",3204351,2.32,5.8,0.84,407,567,681,512,636,0.68,41,17.02,4.47,62.3,18.27,59.93,11.49,193.35,417.63,550.55,,,,,,,,
"Rio Bom",4122107,0.36,,,443,594,729,0.52,576,672,58,20.82,9.27,61.04,27.9,57.36,12.2,202.96,287.42,524.89,,,,,,,,
"Rio Bonito",3304300,8.79,19.54,10.18,483,609,0.71,594,678,705,47,34.53,12.12,80.21,22.93,68.35,10.97,321.87,542.49,643.54,,,,,,,,
"Rio Bonito do Iguaçu",4122156,2.68,5.61,2.17,319,466,629,433,551,631,33,22.2,13.18,45.74,14.84,41.21,6.35,118.37,246.86,405.76,,,,,,,,
"Rio Branco",1200401,8.77,19.22,10.48,485,591,727,643,673,729,31,32.44,18.18,57.85,36.59,51.05,15.18,437.12,527.43,744.67,,0.73,,769.87,,0.72,,720.95
"Rio Branco",5107206,6.87,11.41,9.05,403,539,707,572,601,701,47,24.84,10.29,63.88,25.34,63.88,14.9,280.97,337.07,626.09,,,,,,,,
"Rio Branco do Ivaí",4122172,3.28,4.08,,275,473,0.64,416,541,624,24,27.82,18.09,32.15,18.46,32.15,8.2,106.76,231.29,387.85,,,,,,,,
"Rio Branco do Sul",4122206,2.09,4.61,2.91,389,554,679,552,607,679,22,18.63,9.38,31.14,20.58,29.83,9.23,247.6,349.43,548.8,,,,,,,,
"Rio Brilhante",5007208,5.72,12.96,4.88,475,584,715,654,658,0.72,47,20.39,9.44,54.83,17.65,46.16,9.68,468.37,479.27,705.6,,,,,,,,
"Rio Casca",3154903,11.16,17.75,8.1,403,538,0.65,549,616,651,36,24.96,12.08,72.34,17.47,58.59,8.92,243.42,370.53,460.2,,,,,,,,
"Rio Claro",3304409,4.47,12.19,3.1,439,584,683,578,633,0.7,44,22.5,10.66,79.08,14.46,73.96,7.34,292.75,410.91,623.62,,,,,,,,
"Rio Claro",3543907,6.06,13.31,7.15,611,734,803,712,763,784,55,27.46,11.47,107.64,36.5,82.5,18.64,671.06,922.01,1049.16,,,,,,,,
"Rio Crespo",1100262,7.1,12.47,11.94,259,441,643,461,544,637,21,23.56,14.04,48.44,14.59,44.24,6.56,140.95,236.58,420.61,,,,,,,,
"Rio da Conceição",1718659,17.15,35.46,30.19,247,412,608,384,478,557,48,15.98,7.1,61.45,10.53,58.56,1.25,87.12,156.84,256.83,,,,,,,,
"Rio das Antas",4214409,1.37,2.53,2.67,464,587,697,0.59,645,727,39,29.86,10.64,38.22,29.25,36.51,20.14,313.81,443.35,737.53,,,,,,,,
"Rio das Flores",3304508,5.51,12.02,10.44,499,603,0.68,615,619,664,67,26.29,7.16,67.46,16.93,50.96,12.04,366.28,377.68,499.13,,,,,,,,
"Rio das Ostras",3304524,8.27,16.78,8.02,445,0.62,773,599,709,784,44,29.15,11.89,67.65,31.51,55.44,13.02,332.51,658.42,1051.19,,,,,,,,
"Rio das Pedras",3544004,8.88,16.71,12.89,507,664,759,684,695,741,41,20.74,7.81,69.59,24.8,62.67,12.45,565.03,602.78,804,,,,,,,,
"Rio de Contas",2926707,5.34,12.01,2.31,389,494,605,438,514,0.58,34,22.63,5.67,70.96,10.51,45.47,5.57,121.76,195.57,294.83,,,,,,,,
"Rio de Janeiro",3304557,7.25,17.12,9.11,639,716,799,757,803,0.84,52,38.17,18.16,76.13,46.72,58.49,20.3,887.06,1187.08,1492.63,,0.84,,1508.68,,0.84,,1478.52
"Rio do Antônio",2926806,4.53,8.51,7.38,269,385,576,0.37,472,555,36,17.55,4.46,58.27,5.63,44.53,3.34,79.95,150.84,252.98,,,,,,,,
"Rio do Campo",4214508,1.03,2.93,,439,581,729,556,644,741,53,19.26,3.74,111.46,17.13,79.15,9.12,254.55,439.91,803.46,,,,,,,,
"Rio Doce",3155009,11.11,31.65,18.15,386,0.57,664,509,603,644,41,32.63,4.25,87.65,21.68,84.19,17.09,189.89,340.16,439.86,,,,,,,,
"Rio do Fogo",2408953,7.99,12.83,8.84,275,398,569,447,457,546,52,32,15.51,72.47,7.55,62.52,1.1,129.46,137.68,239.1,,,,,,,,
"Rio do Oeste",4214607,0.83,0.7,2.79,0.49,637,754,615,676,769,49,18.55,3.17,62.58,16.64,56.69,12.22,368.3,536.84,957.34,,,,,,,,
"Rio do Pires",2926905,6.31,9.11,11.89,299,434,594,413,516,568,31,19.59,10.88,59.29,11.26,45.14,4.81,104.55,199.01,274.58,,,,,,,,
"Rio do Prado",3155108,14.32,29.35,16.57,283,457,605,0.41,523,573,28,21.97,4.76,57.4,8.2,51.98,3.06,102.6,207.01,283.37,,,,,,,,
"Rio dos Bois",1718709,3.84,12.74,4.14,255,476,616,444,555,588,40,23.77,11.44,43.43,15.64,43.43,4.29,126.98,252.61,310.91,,,,,,,,
"Rio dos Cedros",4214706,1,3.01,0.54,505,626,729,608,676,739,48,17.35,4.81,81.79,20.62,79.47,14.2,352.74,537.99,795.95,,,,,,,,
"Rio dos Índios",4315552,2.27,6.78,,327,512,656,401,559,645,20,23.53,8.52,35.97,32.57,25.32,13.09,96.88,259.36,442.12,,,,,,,,
"Rio do Sul",4214805,1.93,4.06,1.65,579,698,802,669,733,793,69,29.79,14.39,73.59,42.32,60.72,21.76,515.04,766.54,1114.31,,,,,,,,
"Rio Espera",3155207,8.12,16.88,8.47,0.33,456,602,448,521,575,20,29.11,10.47,44.87,19.29,43.18,12.33,130.11,204.21,286.36,,,,,,,,
"Rio Formoso",2611903,16.35,29.19,21.13,309,0.42,613,422,485,562,46,32.87,21.67,70.23,9.98,61.9,5.07,110.48,163.75,264.16,,,,,,,,
"Rio Fortuna",4214904,0.88,2.34,1.51,489,652,806,559,668,848,56,26.85,7.35,95.32,25.2,74.75,20.83,259.5,511.55,1570.51,,,,,,,,
"Rio Grande",4315602,8.42,18.9,11.32,527,652,744,651,702,752,30,37.28,20.54,52.47,50.05,45.83,23.17,458.75,631.79,859.2,,,,,,,,
"Rio Grande da Serra",3544103,11.94,22.77,10.22,498,625,749,628,631,684,40,19.1,11.96,73.97,19.53,67.18,7.35,398.54,405.44,563.57,,,,,,,,
"Rio Grande do Piauí",2209005,6.37,10.88,12.28,314,414,572,428,482,552,44,30.18,9.68,31.75,15.49,25.15,5.63,114.97,160.26,248.87,,,,,,,,
"Riolândia",3544202,7.74,13.64,8.47,487,602,703,0.6,655,677,32,18.42,5.62,75.08,20.93,61.02,12.08,334.69,470.04,539.22,,,,,,,,
