"name","id","Taxa de desocupação - 18 anos ou mais 2010","Taxa de desocupação - 18 a 24 anos 2010","Taxa de desocupação - 25 a 29 anos 2010","IDHM 1991","IDHM 2000","IDHM 2010","IDHM Renda 1991","IDHM Renda 2000","IDHM Renda 2010","% de 0 a 5 anos na escola 2010","% de 18 a 24 anos na escola 2010","% de 25 a 29 anos na escola 2010","Taxa de frequência bruta à pré-escola 2010","Taxa de frequência bruta ao superior 2010","Taxa de frequência líquida à pré-escola 2010","Taxa de frequência líquida ao superior 2010","Renda per capita 1991","Renda per capita 2000","Renda per capita 2010",,,,,,,,
"Altinho",2600807,4.83,13.85,6.44,0.31,444,598,447,0.49,559,47,28.29,13.3,65.35,8.7,56.89,3.84,129.31,168.95,259.21,,,,,,,,
"Altinópolis",3501004,3.88,12.03,4.45,483,658,0.73,667,734,726,47,31.77,12.35,84.38,26.34,72.74,17.08,506.48,772.55,731.49,,,,,,,,
"Alto Alegre",1400050,4.62,10.21,4.15,306,0.46,542,496,478,518,22,22.15,13.83,39.16,23.71,32.94,8.63,174.91,156.73,201.32,,,,,,,,
"Alto Alegre",3501103,4.68,11.14,2.01,0.48,616,0.7,553,632,683,36,17.07,4.16,76.8,16.81,76.8,10.61,249.43,407.89,560.3,,,,,,,,
"Alto Alegre",4300554,1.32,3.33,6.51,567,662,747,609,641,756,43,25.78,7.73,90.32,39.47,68.9,23.63,354.04,430.63,880.85,,,,,,,,
"Alto Alegre do Maranhão",2100436,10.94,16.82,15.67,209,331,554,356,447,516,38,33.2,18.34,68.14,6.28,58.36,3.34,73.25,129.19,198.43,,,,,,,,
"Alto Alegre do Pindaré",2100477,9.6,16.93,10.52,0.19,336,558,344,435,465,50,31.19,11.74,87.32,9.7,59.49,3.49,68.01,119.81,144.91,,,,,,,,
"Alto Alegre dos Parecis",1100379,5.65,10.76,5.71,241,402,592,451,534,603,11,16.89,8.27,20.11,15.96,18.96,5.5,132.23,222.42,341.22,,,,,,,,
"Alto Araguaia",5100300,5.94,9.85,7.58,0.43,583,704,618,0.65,712,30,29.38,7.95,54.15,36.72,50.66,20.28,373.92,457.88,671.99,,,,,,,,
"Alto Bela Vista",4200754,2.37,4.91,5.81,456,619,755,565,625,734,54,19.99,6.88,126.97,22.5,85.1,15.18,269.7,390.65,770.49,,,,,,,,
"Alto Boa Vista",5100359,4.11,6.02,2.57,0.38,496,651,522,583,613,43,31.13,22.71,55.68,11.22,39.13,6.38,206.51,300.61,362.66,,,,,,,,
"Alto Caparaó",3102050,2.72,2.29,3.05,398,0.57,661,559,0.69,666,42,16.05,5.01,67.57,12.49,63.88,6.93,258.96,586.44,505.1,,,,,,,,
"Alto do Rodrigues",2400703,12.94,21.75,15.7,373,513,672,451,578,647,44,27.18,12.78,76.69,9.96,64.63,3.68,132.02,292.59,447.67,,,,,,,,
