Código;Espacialidades;Taxa de desocupação - 18 anos ou mais 2010;Taxa de desocupação - 18 a 24 anos 2010;Taxa de desocupação - 25 a 29 anos 2010;IDHM 1991;IDHM 2000;IDHM 2010;IDHM Renda 1991;IDHM Renda 2000;IDHM Renda 2010;% de 0 a 5 anos na escola 2010;% de 18 a 24 anos na escola 2010;% de 25 a 29 anos na escola 2010;Taxa de frequência bruta à pré-escola 2010;Taxa de frequência bruta ao superior 2010;Taxa de frequência líquida à pré-escola 2010;Taxa de frequência líquida ao superior 2010;Renda per capita 1991;Renda per capita 2000;Renda per capita 2010
4200556;Águas Frias;2.28;9.75;4.15;0.43;0.6;0.745;0.552;0.663;0.728;40;44.96;15.8;64.04;44.23;64.04;32.19;247.69;494.34;743.13
5200258;Águas Lindas de Goiás;7.96;14.97;8.17;0.387;0.497;0.686;0.6;0.583;0.647;34;21.58;7.33;61.91;9.78;52.91;4.29;335.23;300.59;449.38
4200606;Águas Mornas;1.31;3.93;2.33;0.369;0.57;0.723;0.552;0.622;0.731;43;21.32;8.31;48.64;19.58;48.64;11.24;248.07;384.13;754.54
3101003;Águas Vermelhas;6.5;15.3;6.15;0.33;0.466;0.601;0.519;0.509;0.586;35;21.08;3.98;77.19;6.75;72.01;3.81;201.55;189.5;306.97
4300109;Agudo;2.31;5.25;2.9;0.449;0.593;0.694;0.639;0.68;0.752;29;19.61;11.33;52.38;22.12;44.95;10.42;427.84;550.66;861.06
3500709;Agudos;7.37;13.26;7.01;0.513;0.669;0.745;0.63;0.674;0.705;54;21.56;11.71;115.24;23.92;79.48;10.91;404.41;530.21;642.59
4100301;Agudos do Sul;4.6;6.36;6.79;0.351;0.513;0.66;0.533;0.584;0.671;21;24.03;11.82;42.82;27.62;32.64;12.5;220.73;303.22;519.63
3200136;Águia Branca;3.58;8.01;5.21;0.38;0.539;0.678;0.453;0.6;0.66;39;12.11;5.44;61.95;14.95;46.85;6.97;134.01;333.79;487.28
2500205;Aguiar;4.11;9.26;5.6;0.273;0.392;0.597;0.386;0.429;0.632;45;27.62;10.04;101.62;11.18;77.01;5.73;88.31;115.43;407.32
1700301;Aguiarnópolis;7.34;12.8;10.77;0.295;0.466;0.657;0.48;0.513;0.618;27;21.97;4.03;34.75;5.32;32.47;2.92;158.75;194.86;374.27
3101102;Aimorés;7.19;13.6;9.96;0.429;0.593;0.684;0.545;0.609;0.685;36;25.87;13.88;63.62;24.6;61.54;12.53;237.81;354.63;567.46
2900603;Aiquara;10.09;23.42;10.81;0.293;0.436;0.583;0.453;0.505;0.573;62;32.22;11.36;65.13;12.54;46.88;4.15;134.02;185.75;283.24
2300408;Aiuaba;3.31;7.37;1.93;0.256;0.365;0.569;0.36;0.404;0.518;52;16.93;6.15;43.82;11.66;35.9;4.04;74.98;99.06;200.6
3101201;Aiuruoca;3.29;11.05;1.47;0.377;0.55;0.668;0.556;0.647;0.677;32;27.37;14.86;41.04;20.09;37.5;10.74;255.26;448.77;539.92
4300208;Ajuricaba;2.46;8.68;3.02;0.498;0.646;0.753;0.593;0.653;0.763;47;29.17;9;66.7;35.87;64.29;20.46;319.98;466.14;925.7
3101300;Alagoa;3.54;7.56;3.56;0.441;0.542;0.649;0.573;0.572;0.634;24;25.07;12.53;56.06;20.35;53.42;9.18;283;281.33;413.75
2500304;Alagoa Grande;9.49;22.64;11.59;0.322;0.426;0.582;0.467;0.504;0.576;39;35.43;16.73;69.71;13.05;59.27;7.71;146;184.01;287.94
2500403;Alagoa Nova;6.92;16.46;8.6;0.306;0.389;0.576;0.409;0.486;0.567;36;33.4;14.39;81.98;16.91;69.02;8.57;101.82;164.27;272.81
2500502;Alagoinha;6.67;12.32;12.48;0.257;0.411;0.595;0.38;0.485;0.574;42;31.65;8.42;72.21;9.1;56.32;6.08;85.31;163.13;284.64
2600609;Alagoinha;4.97;14.23;3.62;0.354;0.457;0.599;0.458;0.499;0.569;45;30.19;12.54;84.57;13.72;64.94;7.15;138.16;178.67;275.5
2200251;Alagoinha do Piauí;5.6;15.16;4.52;0.226;0.368;0.531;0.42;0.516;0.535;43;14.77;2.41;61.49;7.66;52.48;5.97;109.3;197.96;222.87
